rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-536-org,   charlotte, harrington, 130, clianthus street, kersley mews, toormina, 2484, nsw, 19300527, 35, , 1628766, 4
rec-99-org,   emiily, hinks, 53, alanson place, villa 2, wamberal, 7051, , 19880319, 28, 02 99562947, 6288699, 7
rec-547-org,   jett, ryan, 3, sinclair street, , kiara, 2478, , 19191129, , 07 05747686, 7938395, 9
rec-335-org,   kaela, ardalich, 3, , fairholme, pullenvale, 2074, sa, 19400404, , 04 59393943, 1916043, 6
rec-764-org,   erin, carbone, 73, hyndes crescent, , hoppers crossing, 3910, vic, , 29, 07 92786466, 4396326, 1
rec-395-org,   teresa, kalend, 15, alice street, , hazelwood north, 2283, nt, 19770317, 21, 08 40464919, 4511261, 4
rec-753-org,   bethany, newberry, 5, pulleine crescent, merri banks, balwyn north, 3044, qld, 19650224, , 03 69283787, 5666456, 5
rec-174-dup-0, charlotte, havig, 1, hugh mckay crescent, , helensburgh, 3889, vic, 19180225, 32, 08 85665433, 4474698, 9
rec-108-org,   sean, white, 6, morice place, , new berrima, 5290, vic, 19410412, 31, 08 42636606, 9911239, 7
rec-316-dup-2, callum, ebert, 19, tomary, o'halloran circuit, woronora, 4500, qld, 19130505, , 08 89003947, 7079712, 7
rec-170-org,   ryan, dixon, 280, gatton street, , alligator creek, , sa, 19730518, , 02 65290241, 9346319, 9
rec-358-org,   logan, campbell, 5, julius street, , spring hill, 3188, act, 19710711, 32, 07 75609661, 5240468, 2
rec-586-org,   louise, felmingham, 99, burkitt street, , o'connor, 4569, vic, 19240424, 29, , 8908888, 0
rec-603-org,   taylah, whiteley, 4, allan street, , frankston, 3166, vic, 19050909, , 08 60352328, 8897659, 6
rec-379-org,   connor, bishop, 14, tebbutt place, , rochedale south, 3225, vic, , 10, 04 79700273, 1905673, 6
rec-463-org,   cameron, whiteley, 8, fred williams crescent, fairholme, casino, 2650, nsw, 19880310, 31, 08 76423335, 2876937, 8
rec-240-org,   ashlee, bishop, 11, wallace place, , barongarook, 2904, nsw, 19460305, , 07 41700943, 4610716, 1
rec-217-org,   jarvis, white, 10, horne place, , oonoonba, 3373, , 19441009, 30, 04 96156158, 3059666, 9
rec-314-org,   brianna, noble, 13, cromwell circuit, , childers, 6155, qld, , 37, 08 90030776, 8402546, 7
rec-284-org,   xavier, wilkins, 4, magennis place, mt pleasant, margaret river, 3021, , 19640318, 31, 08 96053279, 7222464, 7
rec-487-org,   paul, alszko, 24, tenth street, milby cottage, west wollongong, 2069, vic, 19360429, 27, 07 39903314, 7043347, 0
rec-500-org,   james, reid, 11, jerrabomberra avenue, bells hills, toowoomba, 2536, vic, 19040819, 26, 08 75126886, 5918993, 5
rec-248-org,   elly, barelds, 19, holman street, , paddington, 2787, wa, 19830516, 28, 07 98812639, 6934108, 7
rec-774-dup-0, alexks, lock, 27, fiveash street, , caves beach, 2135, nsq, 19771201, 10, 07 05781770, 9637373, 4
rec-120-org,   samantha, gallio, 22, mount vernon drive, villa 32, bayswater, 4127, nsw, 19961228, 9, 07 86667392, 8197015, 4
rec-775-org,   samuel, ferris, 165, merri place, , dover, 3132, vic, , 29, , 5686160, 7
rec-340-dup-1, tristan, bradsbhaw, 98, mueller street, , sunshine north, 2073, , 19460104, 10, 08 32937353, 8298351, 4
rec-471-dup-0, joel, steers, 10, namadgi circuit, , tomakin, 3074, vic, 19252028, 29, 04 99927840, 9851338, 1
rec-409-org,   , gaspardis, 4, macarthur avenue, fulham park, little grove, 2768, nsw, 19460208, 41, 03 29739247, 9277557, 8
rec-69-dup-0, danibl, flores, 133, bromelk circuit, hurlstone agricul, kaleen, 2100, vic, , 29, 07 82255312, 8036904, 5
rec-506-org,   jack, secomb, 22, captain cook crescent, , cooks hill, 3024, sa, 19320306, 26, 03 73308932, 7747914, 4
rec-681-org,   gabriella, smallacombe, 56, gilday place, , olinda, 4722, wa, 19170206, 35, 07 10706024, 1855668, 7
rec-717-org,   isabelle, moulton, 46, frencham place, , albany creek, 3053, , 19451002, 21, 04 09057293, 2958549, 4
rec-294-org,   joshua, lena, 24, newman morris circuit, erina gardns, moss vale, 4215, nsw, 19020718, 38, 02 34312056, 1573316, 7
rec-369-dup-1, pearson, homnan, , outtrij avenue, , toodyy, 2289, wa, 19160731, 20, 03 13000126, 9905245, 5
rec-464-dup-0, daniel, , 659, darwinia terrace, st vincents hospital, theodore, 3225, nsq, 19230212, 35, 08 03580747, 7647024, 2
rec-196-org,   , langer, 6, derrington crescent, bernleigh, kingsford, 3083, wa, 19990506, 33, 04 36636506, 9233133, 0
rec-789-org,   georgia, bishop, 8, ashkanasy crescent, jingara, bayswater, 3153, nsw, 19441022, 29, 08 00875662, 8874591, 3
rec-587-org,   claire, dixon, 30, chowne street, cooranga, peake, 2099, qld, , 25, 03 02975070, 2538749, 7
rec-316-org,   callum, ebert, 10, o'halloran circuit, tomary, woronora, 4500, qld, 19130505, , 08 89003947, 7079712, 7
rec-210-org,   tess, robson, 1, rosella street, , kurri kurri, 2571, qld, 19510506, , 07 76816199, 6151562, 2
rec-107-org,   mitchell, clarke, 54, brolga place, locheil, battery hill, 2089, nsw, 19670828, 13, 03 20287998, 5172545, 8
rec-537-org,   sophie, bishop, 1907, gibbes place, , north curl curl, 4066, , 19270925, , 03 39046344, 9403563, 2
rec-49-org,   olivia, godfrey, 11, , , camp hill, 2085, nsw, 19601224, 35, 08 52172247, 9832691, 4
rec-368-org,   blaize, ryan, 4, hadleigh circuit, , oak flats, 5049, qld, 19810319, , 04 03045719, 3825972, 6
rec-628-org,   katie, white, , broinowski place, pindara medical centre, macquarie fields, 5114, , 19550618, , 07 62096267, 8075470, 0
rec-89-org,   amy, horsley, 22, timboram street, kersley mews, preston, 4370, vic, 19220908, 29, 02 84932044, 1026942, 2
rec-14-org,   isabella, sagucio, 7, zox circuit, , naremburn, 3556, wa, 19640905, 30, 04 88542895, 2184794, 9
rec-52-org,   connor, bissett, 7, airey crescent, , round corner, 2089, nsw, 19620804, , 07 42614960, 9941053, 9
rec-389-org,   harriet, crouch, 18, wehl place, , salisbury east, 3109, act, 19061122, 14, 07 21330670, 1807169, 5
rec-128-dup-1, ferris, madalyn, 416, chisholmcstreet, , nuriootpa, 5431, sa, 19390815, 32, 04 35680978, 9488742, 2
rec-66-dup-1, jordan, meaney, 33, barada crescent, retirement village, lalor bpark, 2298, vic, 19390826, 23, 07 42507031, 1107313, 1
rec-634-dup-1, stephanie, meager, 29, blowerign street, orana gardens retirement village, box hill outh, 2285, vic, 19420301, 31, 04 21886129, 5738964, 8
rec-392-org,   madison, bidwell, 24, alexander mackie circuit, , old bar, 6112, vic, , 28, 02 01643781, 8936313, 1
rec-602-org,   lewis, rivers, 45, werriwa crescent, , smithfield, 4111, nsw, 19910720, 22, 02 31250092, 9220218, 9
rec-713-org,   toby, pegg, 120, heales place, sunbury, narrogin, 5252, nsw, 19061228, , 02 11369889, 7433345, 3
rec-626-org,   william, rivers, 25, callaghan street, , macquarie fields, 5048, act, 19471129, 27, 04 34719878, 6347386, 3
rec-251-dup-0, isabeole, weidenhofer, 48, buchanan street, mariner views, birkdale, 4214, nsw, , , 08 88726594, 1371967, 9
rec-444-dup-1, oliver, blackwell, 31, popplewel place, , newfarm, 3133, nsw, 19291229, 22, 04 38060594, 3314003, 0
rec-728-org,   ella, campbell, 19, mcbride place, , kogarah, 6169, nsw, 19030803, 19, 02 66981217, 8161703, 3
rec-186-org,   ellie, carraill, 7, magenta square, canberra hse, eleebana, 4872, nsw, , 11, 04 03153920, 8855056, 6
rec-83-org,   blake, reid, , lingiari court, , acton, 5017, nsw, 19280916, , 07 26305939, 3774397, 3
rec-135-org,   lucy, maynard, 155, coulton road, , winston hills, 3335, vic, 19360403, 24, 03 77279152, 3305404, 6
rec-410-org,   kierra, madigan, 32, hargrave street, st pauls court, mackenzie, 2060, wa, 19200706, 31, 02 74323916, 8896278, 5
rec-663-org,   angus, moody, 15, maclachlan street, brindabella hse, surfers paradise, 2560, qld, 19990926, , 07 38543021, 3497121, 1
rec-484-dup-1, matilda, gillzrd, 11, sargood xtreet, , bulimba, 5353, , 19820707, 31, 07 56452558, 4444216, 8
rec-171-org,   erin, ronan, 185, hakea crescent, cranbrook, boyanup, 6028, nsw, 19490226, 33, , 5986998, 0
rec-480-org,   ruby, gallman, 27, manning street, shopping centre, berwick, 2250, nsw, 19460411, , 02 48588091, 7875425, 2
rec-128-dup-0, madalyn, ferris, 417, chisholn street, , nurioodtpa, 5431, sa, 19390815, 32, 04 35680978, 9488742, 2
rec-639-org,   cade, clarke, 4, paschke place, herbert river, butler, 2096, nsw, 19340504, 21, 02 93443039, 8461862, 4
rec-569-org,   gabrielle, paterson, 31, deloraine street, corinella, cervantes, 3184, vic, , 21, 03 51694195, 4811956, 5
rec-78-org,   brooklyn, green, 14, suttor street, , mayfield, 6020, vic, 19301223, , 03 79231273, 6921546, 6
rec-405-org,   amy, gillard, 9, chewings street, , emu plains, 4220, sa, 19280303, , 04 09592267, 2602314, 6
rec-714-org,   trinity, lowe, 104, shipard place, , marion, 3163, nsw, 19480901, 22, 02 62067792, 7570093, 0
rec-112-org,   adam, musolino, 6, bavin street, , shoalhaven heads, 3021, sa, , 23, , 3719472, 5
rec-106-dup-0, kimberly, vreugdenburg, 1, marcus clarke street, , , 2603, tas, 19550303, 33, 04 92041684, 2982526, 1
rec-228-org,   xepheren, rawlings, 9, foveaux street, scotch college, hillside, 5333, vic, 19680225, 29, 08 83006430, 7306703, 9
rec-103-org,   skye, pakos, 31, endeavour street, , macquarie fields, 4212, , 19060914, 27, 07 06482447, 5104826, 5
rec-237-dup-0, benjamin, jolyl, 51, dallachy street, yggdrasil, ascot, 2211, wa, 19910001, 32, 02 20664151, 3624041, 8
rec-627-dup-0, jokc, assef, 381, mcgowen close, , tenby point, 2560, nsw, 19770305, 39, 08 48961106, 8255963, 5
rec-722-org,   libby, pegg, 86, carr crescent, , norwood, 2112, vic, 19910317, 32, 03 23789263, 4118866, 1
rec-484-dup-0, matilda, gillarfd, 11, sargood satreet, , bulimba, 5353, , 19820807, 13, 07 56452558, 4444216, 8
